stationReference,month,avg_daily_pet
53197,1,0.4042753491627715
E22548,1,0.34720250836359723
E1662,1,0.39961505673473446
2670,1,0.3338820117644043
E3951,1,0.27286747041548554
F0806,1,0.40855428518132675
E4402,1,0.22705180568769845
4369TH,1,0.2687095250880143
45213,1,0.6369378101789193
E24823,1,0.3739027484148248
51107,1,0.4931580925946903
44131,1,0.5235028410727162
1790TH,1,0.4203249543014905
023027,1,0.38951964660728433
47131,1,0.5951324346792924
4055,1,0.35901093176517374
E12781,1,0.40560053195002055
2002,1,0.36184782563889134
055021_TG 305,1,0.32082198424857306
2262,1,0.3254448550921504
E1750,1,0.4504518471911652
E21058,1,0.3656568787948229
731013,1,0.36970394246453553
2455TH,1,0.40009566484968223
4018,1,0.33815173585938035
50150,1,0.5393855743331472
1210TH,1,0.4246464427717844
2225,1,0.33872435856848876
2607TH,1,0.31740565790859904
E22761,1,0.2625391404187796
690408,1,0.23663728643003942
E21183,1,0.4337929838237022
4143,1,0.27789372012614133
L1505,1,0.3513856948714982
5329TH,1,0.3304957663733244
48190,1,0.6458386568313913
E2647,1,0.444710822367744
E71539,1,0.46008389606346156
E71524,1,0.46008389606346156
E24267,1,0.3619681031187501
2077,1,0.4211872905064945
5442TH,1,0.3373624889980756
750504,1,0.45670246189828956
2819TH,1,0.34646285975355157
47169,1,0.638417077465666
2902TH,1,0.22658492111985937
L1357,1,0.39101642862909
48116,1,0.5942596449905005
E1788,1,0.3555825388101154
F25110,1,0.3207916668678059
L2304,1,0.35298375217915257
E2141,1,0.4542419154397088
2200TH,1,0.3576797396101433
2230TH,1,0.40526555718172325
2165,1,0.32135563422998964
E22539,1,0.3501370925120344
712130,1,0.3232084913251595
F0203,1,0.3594482087703236
2661,1,0.39423523636556435
3229TH,1,0.29493556835043805
F1508,1,0.3362099191692625
690250,1,0.22018576243244625
1501TH,1,0.38285201387989864
2128,1,0.38311370165604053
4083,1,0.3017221821526848
E24814,1,0.36926310283116953
44122,1,0.6349924238555483
023018,1,0.21107140381322226
2928TH,1,0.2886549380299012
47122,1,0.5568049840972289
4046,1,0.31630034880849006
764070,1,0.4155184580717179
E1245,1,0.42778334068834917
E1839,1,0.3907418498142146
4009,1,0.3301487432476034
50141,1,0.45034006577727037
E1110,1,0.3083407738762452
751020,1,0.4369211320801617
53141,1,0.3655763706869336
0130TH,1,0.3814317435724064
E4370,1,0.2436666119300927
52157,1,0.47741520326575776
43226,1,0.41774062216127317
4150TH,1,0.2805399785325874
F3004,1,0.32371635922837033
0190TH,1,0.39920465857617654
E581,1,0.3021591205354974
L0414,1,0.3138468395186632
2885TH,1,0.2611638845792963
761260,1,0.3071560777788179
E22344,1,0.3787060134651214
L2592,1,0.3588959770243031
700325,1,0.2777699432239652
E21856,1,0.3291770754993603
48107,1,0.6365073680887849
52208,1,0.42736664163467186
52110,1,0.453057453840895
021030,1,0.4408460860961659
